,Estado,Ano,Nome,Tipo,Captura
132,Sergipe,1962,Camarão (de mar),Not specified,49.0
133,Sergipe,1963,Camarão (de mar),Not specified,67.0
134,Sergipe,1964,Camarão (de mar),Not specified,59.0
135,Sergipe,1966,Camarão (de mar),Not specified,56.0
136,Sergipe,1967,Camarão (de mar),Not specified,56.0
137,Sergipe,1968,Camarão (de mar),Not specified,60.0
138,Sergipe,1969,Camarão (de mar),Not specified,52.0
139,Sergipe,1971,Camarão (de mar),Not specified,54.0
140,Sergipe,1972,Camarão (de mar),Not specified,51.0
141,Sergipe,1973,Camarão (de mar),Not specified,49.0
142,Sergipe,1974,Camarão (de mar),Not specified,114.0
143,Sergipe,1975,Camarão (de mar),Not specified,74.0
144,Sergipe,1976,Camarão (de mar),Not specified,34.0
145,Sergipe,1977,Camarão (de mar),Not specified,57.0
146,Sergipe,1978,Camarão (de mar),Artisanal,63.0
147,Sergipe,1979,Camarão (de mar),Artisanal,28.0
148,Sergipe,1980,Camarão (de mar),Artisanal,94.0
149,Sergipe,1981,Camarão (de mar),Artisanal,120.0
150,Sergipe,1982,Camarão (de mar),Artisanal,164.0
151,Sergipe,1983,Camarão (de mar),Artisanal,178.0
152,Sergipe,1984,Camarão (de mar),Artisanal,189.0
153,Sergipe,1985,Camarão (de mar),Artisanal,283.0
154,Sergipe,1986,Camarão (de mar),Artisanal,309.0
155,Sergipe,1987,Camarão (de mar),Artisanal,190.0
156,Sergipe,1988,Camarão (de mar),Artisanal,223.0
157,Sergipe,1989,Camarão (de mar),Artisanal,176.0
158,Sergipe,1990,Camarão (de mar),Artisanal,303.0
159,Sergipe,1991,Camarão (de mar),Artisanal,324.0
160,Sergipe,1992,Camarão (de mar),Artisanal,379.0
161,Sergipe,1993,Camarão (de mar),Artisanal,303.0
162,Sergipe,1994,Camarão (de mar),Artisanal,433.5
163,Sergipe,1995,Camarão (de mar),Artisanal,1454.0
197,Sergipe,1981,Camarão (de mar),Industrial,58.0
198,Sergipe,1982,Camarão (de mar),Industrial,48.0
199,Sergipe,1983,Camarão (de mar),Industrial,770.0
200,Sergipe,1984,Camarão (de mar),Industrial,772.0
201,Sergipe,1985,Camarão (de mar),Industrial,740.0
202,Sergipe,1986,Camarão (de mar),Industrial,458.0
203,Sergipe,1987,Camarão (de mar),Industrial,1232.0
204,Sergipe,1988,Camarão (de mar),Industrial,869.0
205,Sergipe,1989,Camarão (de mar),Industrial,684.0
206,Sergipe,1990,Camarão (de mar),Industrial,682.0
207,Sergipe,1991,Camarão (de mar),Industrial,729.0
208,Sergipe,1992,Camarão (de mar),Industrial,851.0
209,Sergipe,1993,Camarão (de mar),Industrial,682.0
210,Sergipe,1994,Camarão (de mar),Industrial,976.5
